ARTNOARTICLE;ARTSORT;ARTPRESENTATION;ARTSIZE;ARTVARIETY;ARTSPECIES;ARTFAMILYCODE;TMARUPTURECOLONNE;ARTCRITERIA1;ARTCRITERIA2;ARTCRITERIA3;LIBCRITERIA1;LIBCRITERIA2;LIBCRITERIA3;LIBCRITERIA4;LIBCRITERIA5;LIBCRITERIA6;LIBCRITERIA7;LIBCRITERIA8;LIBCRITERIA9;ARTCRITERIA4;ARTCRITERIA5;ARTCRITERIA6;ARTCRITERIA7;ARTCRITERIA8;ARTCRITERIA9;ARTCONDITIONNEMENT;ARTTYPE;FAMDESIGNATION;LIBSIZE;LIBPRESENTATION;LIBCONDITIONNEMENT;COSNOCOSTIDENT;COSCATEGORY;CUSNOCUSTOMER;CUSNAME;CUSSOCIALREASON;CUSADDRESS1;CUSADDRESS2;CUSZIPCODE;CUSCITY;ARTBOTADESIGN;ARTLOCALNAME;UNVCONTENANCE;TmqQuantity;TmqPrix;TmqFolio;
100019;0PICE FP BRI;;023;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Pinus cembra briançonnais fertil pot;Pin cembro - arolle;0,00;0,00;4,50;1;
100020;0PICE FP TY;;008;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;8/12;;;1;1;;;;;;;;Pinus cembra Tyrol fertil pot;pin cembro - arolle;0,00;0,00;3,00;1;
100021;0PICR FP BRI;;020;;pin à crochets fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/30;;;1;1;;;;;;;;Pinus uncinata briançonnais fertil pot;Pin à crochets;0,00;0,00;3,50;1;
100022;0PINO FP 902;;012;;pin noir d'autriche fertil pot;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Pinus nigra 'Austriaca' 902 fertil pot;Pin noir d'Autriche;0,00;0,00;2,65;1;
102009;0SACO FP;;013;;sapin concolor fertil pot;0;:0;0;;;pas tarif;;;;;;;;;;;;;;;;0;FERTIL-POTS;13/20;;;1;1;;;;;;;;Abies concolor fertil pot;Sapin du Colorado;0,00;0,00;3,50;1;
102293;X0SAMA FP;;;20 40;saule marsault  f p;0;:0;0;;;pas tarif;;;;;;;;;;;;;;;;0;FERTIL-POTS;;;;1;1;;;;;;;;SAULE MARSAULT FERT.POTS 20/40;;0,00;0,00;2,76;1;
102014;0SANO FP AMB;;013;;sapin nordmann fertil pot;0;:0;0;;O;pas tarif;;OUI;;;;;;;;;;;;;;0;FERTIL-POTS;13/20;;;1;1;;;;;;;;Abies nordmanianna 'Ambrolauri' fertil pot;Sapin de nordmann;0,00;0,00;3,50;1;
102018;0SO FP;;024;;sorbier fertil pots;0;:0;0;;;pas tarif;;;;;;;;;;;;;;;;0;FERTIL-POTS;20/40;;;1;1;;;;;;;;Sorbus aucuparia fertil pot;Sorbier des oiseleurs;0,00;0,00;2,90;1;
101832;ZZZFERTIL N R;;;;fertil pots n rep;0;:0;;;N;;;NON;;;;;;;;;;;;;;0;FERTIL-POTS;;;;1;1;;;;;;;;FERTIL POTS NON REPERTORIES;;0,00;0,00;0,00;1;
106879;0PICE FP TY;;012;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Pinus cembra Tyrol fertil pot;pin cembro - arolle;0,00;0,00;0,00;1;
106881;0PICE FP BRI;;012;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Pinus cembra briançonnais fertil pot;Pin cembro - arolle;0,00;0,00;0,00;1;
106882;0PICR FP BRI;;012;;pin à crochets fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Pinus uncinata briançonnais fertil pot;Pin à crochets;0,00;0,00;0,00;1;
106883;0EPCO ALT FP 505;;012;;epicea commun altitude fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Picea abies 'Exelsa' 505 fertil pot;Epicéa commun altitude;0,00;0,00;0,00;1;
106884;0EPCO FP 502;;012;;epicea  commun fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Picea abies 'Exelsa' 502 fertil pot;Epicéa commun;0,00;0,00;0,00;1;
106885;0EPCO FP 504;;012;;epicea commun fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Picea abies 'Exelsa' 504 fertil pot;Epicéa commun;0,00;0,00;0,00;1;
106886;0EPCO HALT FP 503;;012;;epicea commun haute alti fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Picea abies 'Exelsa' 503 fertil pot;Epicéa commun haute altitude;0,00;0,00;0,00;1;
106887;0EPCO HALT FP 506;;012;;epicea commun haute alti fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Picea abies 'Exelsa' 506 fertil pot;Epicéa commun haute altitude;0,00;0,00;0,00;1;
